id,dark_minimal_techno,psytrance,progressive_house,dubstep
4nem26iLmAMLICncKCGcxJ,0,0,0,1
1r8ujfJ0hvXJifOQSlTLXR,0,0,0,1
4Yog4fmOWvBVgBNCBi8yeJ,0,0,0,1
7tyYNJGa6LoV9QAk3r0Xbo,0,0,0,1
2WGQOJ6qsTCLhkV010XBqF,0,0,0,1
7r2J0SfMm3NIekpg6g96Dx,0,0,0,1
2FXnfgUmPm5PdQ5MkjIZ7Z,0,0,0,1
0ftS7xC955F1Wk1OwbsmBK,0,0,0,1
7ei0ySZ1R4rwtc49s0kZpN,0,0,0,1
2z4TKCcjas1rXrKfqH5lxN,0,0,0,1
4uWVsQ8aM9GVENQalbvq75,0,0,0,1
4GHc8mQeCVWq8MlD1CEmv2,0,0,0,1
2alDalhotF1t7ldnToc0Ec,0,0,0,1
2GXNlNNpML4DTIiE55qFhE,0,0,0,1
42sPBDV0oxrfng1VALIfdb,0,0,0,1
3vaqtMy2vzK4898GznpZTY,0,0,0,1
5ooGpe7SVkEb3HWzCLfGzt,0,0,0,1
4uatUqDR0kWUQzpTJ4Z9wA,0,0,0,1
4qXQi1FQEMTqYUeKLxOily,0,0,0,1
3UQLxlYcYczjBI7UBkY8X9,0,0,0,1
4Y3wfes2jxXw8BAyHm7SAS,0,0,0,1
1VNaye4eFtGxZsIXvMzHi3,0,0,0,1
60tKKSUCyuDSoQHkW5yHGM,0,0,0,1
1mHm12W5zx16s8EIFyUrdM,0,0,0,1
70067f5mpmsXDXUHx5FM3m,0,0,0,1
1OcDoQaHG1UfDEf5ykzBH0,0,0,0,1
0gjnx24XntzkQW4tw5WUv4,0,0,0,1
0sVCo3fM1PBy6b2YJWdfuf,0,0,0,1
3cAKXrQ5ZnSvIaZgogddh1,0,0,0,1
3LEleiIm32pj5NYXKkmD0K,0,0,0,1
1MfhbtzIoja7HQ08YdOWgg,0,0,0,1
5xSdj3XWAvxLNwX9sD0gxT,0,0,0,1
1bKmLi3hH7h5aMjPonouge,0,0,0,1
3ykrBzDD5jNTBghis7BOTW,0,0,0,1
3F9JcvVxuCZWQ6wvF0HG7P,0,0,0,1
67nvNSOMzlFpqfwT7rSOcQ,0,0,0,1
7JwdwhiW3N1eiMfdF6ipmD,0,0,0,1
7ndyqLBqQGj37G0528hR55,0,0,0,1
1SIQqSE0P63y5z97Y7BNFm,0,0,0,1
1kCDTqvIr80hSlGEaMbRqe,0,0,0,1
3aetXK7HY44B5szDUJv5ZD,0,0,0,1
3twjwSVN9Yx6BqKATHq2po,0,0,0,1
