Genre,Count
acid trance,146
forest psy,146
goa psytrance,146
old school hard trance,145
progressive psytrance,145
soulful house,145
dark techno,145
cosmic uplifting trance,145
dark minimal techno,144
deep filthstep,144
tribal house,144
deathstep,144
deep uplifting trance,144
dark psytrance,144
goa trance,144
organic house,144
deep tropical house,143
neurofunk,143
deep liquid bass,142
deep minimal techno,138
deep psytrance,135
psychedelic trance,135
riddim dubstep,131
deep deep house,122
funky tech house,121
minimal techno,118
progressive uplifting trance,110
minimal dubstep,109
deep techno,104
deep deep tech house,104
modular techno,103
deep tech house,101
neuro step,94
darkstep,93
brostep,82
jump up,71
progressive trance,71
acid techno,69
deep progressive house,68
dark progressive house,67
classic progressive house,65
deep progressive trance,65
tropical house,64
classic dubstep,63
tech house,59
diva house,59
progressive house,59
bouncy house,57
minimal tech house,51
deep euro house,49
slap house,48
deep full on,42
funky house,42
gaming dubstep,40
deep groove house,38
jackin’ house,34
deep house,33
bubble trance,29
classic house,27
full on,27
deep dubstep,26
bass house,21
float house,19
stutter house,17
bleep techno,15
tech trance,10
future house,6
filthstep,5
raw techno,4
industrial techno,3
fidget house,2
