Class,Feature,B (β),SE,Wald χ²,p-value
Dark minimal techno,Loudness,-0.4121808156017074,0.5317859885490611,0.6007610500957717,0.43828779823993014
Dark minimal techno,Dissonance,0.3075222105160307,1.3555691650149029,0.05146471981095121,0.8205338744048136
Dark minimal techno,Dynamic complexity,-0.07219226107604806,1.1426277923554433,0.003991827096887325,0.9496224478548819
Dark minimal techno,Pitch salience,-0.4849011400981922,4.479566999211634,0.011717483141311715,0.9137995063891917
Dark minimal techno,Spectral centroid,-0.1948313908791966,1.1673575996520302,0.027855440577100207,0.8674491325211915
Dark minimal techno,Spectral complexity,0.3356364128534559,2.8539420271485105,0.013830817408325476,0.9063810426183876
Dark minimal techno,Spectral decrease,-0.48545358998018023,2.3747032250774778,0.041790421363232695,0.8380197886932836
Dark minimal techno,Spectral energyband high,0.20434008742560517,5.6606690662422405,0.001303081616305658,0.9712040402124446
Dark minimal techno,Spectral energyband low,0.025770398266402636,1.7486656375116925,0.00021718444075258996,0.9882418581335745
Dark minimal techno,Spectral energyband middle,0.31835864711607975,5.904213350155986,0.002907429656806194,0.9569984348073934
Dark minimal techno,Spectral entropy,0.23661682630261568,3.407241931627276,0.004822645134266573,0.9446351978642826
Dark minimal techno,Spectral kurtosis,-0.20506981018144055,2.3316979994965537,0.007734974007694523,0.929917448738052
Dark minimal techno,Spectral rolloff,-0.2349093408778927,3.972683847664134,0.00349649219715472,0.9528476526654671
Dark minimal techno,Spectral skewness,0.3252558358114711,3.7945745558781967,0.007347236413913769,0.9316921653540576
Dark minimal techno,Spectral spread,-0.4216060050506332,1.9352040969759308,0.0474635290875353,0.8275372112960664
Dark minimal techno,Zerocr,-0.12780114138718351,3.209973123142298,0.0015851365236284407,0.9682415956406137
Dark minimal techno,Mfcc1,-0.22241517630700777,2.836044790385598,0.006150390123926062,0.9374904466074243
Dark minimal techno,Mfcc2,0.5289692043743817,2.546887333842746,0.04313614304468,0.8354691333603221
Dark minimal techno,Mfcc3,0.8996792869100639,1.4756090749278208,0.3717344485842606,0.5420603597223115
Dark minimal techno,Mfcc4,0.14750296583023148,0.9791436768501729,0.022693874986399173,0.8802558690275231
Dark minimal techno,Mfcc5,0.14667165503507545,0.932138751135917,0.024758895066931796,0.8749693358192772
Dark minimal techno,Onset rate,-0.2701841557802865,0.6439118183777145,0.1760625397466621,0.6747790990484066
