Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Dark minimal techno,Loudness,-0.5347721731252609,0.054295333370830895,97.00912632116113,6.900851721436498e-23,-0.6411910265320895,-0.4283533197184324
Dark minimal techno,Dissonance,-0.12189498478816806,0.143294490906271,0.7236235416058897,0.3949578879041007,-0.40275218696445925,0.1589622173881231
Dark minimal techno,Dynamic complexity,-0.25414362070461555,0.14298569912179757,3.1591716207307825,0.07550148595962378,-0.5343955909833388,0.02610834957410768
Dark minimal techno,Pitch salience,-0.05572701406183188,0.2667929547650714,0.04362976092171557,0.8345439608581688,-0.5786412054013719,0.4671871772777081
Dark minimal techno,Spectral centroid,-0.054688145390941835,0.09388870725954893,0.33928110394092187,0.5602444765321277,-0.2387100116196577,0.12933372083777406
Dark minimal techno,Spectral complexity,0.15311700067588155,0.28688085552697945,0.2848680167333376,0.5935281532097731,-0.40916947615699817,0.7154034775087612
Dark minimal techno,Spectral decrease,-0.1655895409423848,0.2026299380736162,0.6678187078353413,0.4138131399508279,-0.5627442195666725,0.23156513768190298
Dark minimal techno,Spectral energyband high,0.12977391420132356,0.9271436506888979,0.019592089262087133,0.8886823151907844,-1.6874276411489162,1.9469754695515635
Dark minimal techno,Spectral energyband low,0.16611810569820196,0.1538759161405646,1.165447291345164,0.28033867813423946,-0.1354786899373046,0.4677149013337085
Dark minimal techno,Spectral energyband middle,0.31019938115331086,0.9539524821021366,0.1057373372348781,0.7450503081639275,-1.5595474837668768,2.1799462460734986
Dark minimal techno,Spectral entropy,1.3665619688291772,0.3271861076440005,17.444918708935575,2.9575378489807777e-05,0.7252771978469362,2.007846739811418
Dark minimal techno,Spectral kurtosis,0.04921700211287277,0.16847952075171074,0.08533674553116084,0.7701914061598985,-0.2810028585604803,0.37943686278622585
Dark minimal techno,Spectral rolloff,-0.47043906078908126,0.32177532899571937,2.137476075691365,0.14373820384075486,-1.1011187056206913,0.16024058404252872
Dark minimal techno,Spectral skewness,-0.09817876778160207,0.3353274701046257,0.0857229068270485,0.7696866893822466,-0.7554206091866684,0.5590630736234643
Dark minimal techno,Spectral spread,-0.8165258916253861,0.2179962334605994,14.029491854304183,0.00017996577443726874,-1.243798509208161,-0.3892532740426113
Dark minimal techno,Zerocr,0.5261304582095012,0.38136743531485545,1.9032668181322738,0.1677131135303115,-0.22134971500761547,1.2736106314266178
