Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14,Component 15,Component 16,Component 17,Component 18,Component 19,Component 20,Component 21,Component 22,Component 23,Component 24,Component 25,Component 26,Component 27,Component 28,Component 29,Component 30,Component 31,Component 32
pitch_salience_mean,dissonance_mean,dynamic_complexity,attack_slope_mean,chroma3_mean,spectral_spread_mean,chroma1_mean,spectral_energy_mean,chroma1_mean,chroma1_mean,chroma4_mean,chroma1_mean,mfcc4_mean,spectral_energyband_low_mean,spectral_spread_mean,spectral_kurtosis_mean,chord,danceability,onset_rate,mfcc4_mean,loudness,mfcc7_mean,danceability,mfcc5_mean,spectral_centroid_mean,loudness,spectral_centroid_mean,mfcc4_mean,chroma9_mean,loudness,loudness,chroma9_mean
zerocr_mean,spectral_entropy_mean,spectral_centroid_mean,attack_slope_middle_mean,chroma4_mean,mfcc3_mean,chroma2_mean,spectral_energyband_high_mean,chroma2_mean,chroma2_mean,bpm,chroma2_mean,onset_rate,spectral_kurtosis_mean,mfcc11_mean,bpm,chord_scale,chord_scale,chord,mfcc7_mean,spectral_centroid_mean,mfcc12_mean,chord,danceability,mfcc4_mean,danceability,spectral_kurtosis_mean,mfcc7_mean,chroma10_mean,mfcc4_mean,spectral_centroid_mean,chroma12_mean
attack_time,spectral_skewness_mean,mfcc2_mean,spectral_flux_mean,chroma5_mean,spectral_flatness_high_mean,chroma3_mean,spectral_energyband_middle_mean,chroma3_mean,chroma6_mean,entropia_clarity_middle,chroma4_mean,chords_changes_rate,spectral_skewness_mean,chords_changes_rate,pulse_clarity_mean,key,key_scale,key,mfcc8_mean,key_scale,mfcc13_mean,chord_scale,chord,danceability,onset_rate,danceability,mfcc10_mean,chroma12_mean,chroma12_mean,danceability,chord_strength
,mfcc2_mean,attack_slope_middle_mean,spectral_flux_middle_mean,chroma6_mean,,chroma4_mean,spectral_rms_mean,,chroma7_mean,entropia_clarity_high,chroma5_mean,chords_number_rate,chords_changes_rate,chords_number_rate,pulse_clarity_middle_mean,key_scale,pulse_clarity_mean,meter,mfcc13_mean,meter,onset_rate,key_scale,chord_strength,onset_rate,chord,chord,mfcc13_mean,key_strength,danceability,meter,key_strength
,attack_slope_mean,spectral_flatness_low_mean,,chroma7_mean,,chroma9_mean,bpm,,chroma8_mean,,chroma7_mean,spectral_flatness_low_mean,chords_number_rate,pulse_clarity_mean,spectral_flatness_low_mean,key_strength,entropia_clarity,,chord_scale,spectral_flatness_low_mean,key_scale,spectral_flatness_high_mean,chord_scale,chord,key,key,chord,spectral_flatness_mean,chords_number_rate,,attack_time_high_mean
,,spectral_flatness_middle_mean,,chroma8_mean,,chroma10_mean,pulse_clarity_mean,,,,chroma8_mean,spectral_flatness_high_mean,spectral_flatness_low_mean,pulse_clarity_middle_mean,spectral_flatness_middle_mean,pulse_clarity_mean,,,entropia_clarity,spectral_flatness_middle_mean,meter,,key,key,key_strength,meter,key,spectral_flatness_high_mean,key_strength,,
,,,,chroma9_mean,,chroma11_mean,entropia_clarity_low,,,,,attack_time_middle_mean,attack_time_high_mean,spectral_flatness_low_mean,entropia_clarity_low,pulse_clarity_middle_mean,,,,,entropia_clarity,,key_scale,,,pulse_clarity_low_mean,key_strength,,attack_time_high_mean,,
,,,,chords_changes_rate,,chroma12_mean,,,,,,,,,,,,,,,,,spectral_flatness_low_mean,,,pulse_clarity_high_mean,entropia_clarity,,,,
,,,,chord_strength,,,,,,,,,,,,,,,,,,,spectral_flatness_high_mean,,,entropia_clarity,,,,,
,,,,spectral_flux_low_mean,,,,,,,,,,,,,,,,,,,,,,attack_time_middle_mean,,,,,
