Index,Name,ID,Artist,Artist's ID,Genre,Preview,Album,Album's ID,Release Date,Duration,Popularity,Main Genre
0,Deep Tech Sad Mood,5aelr4V7CGZLC3vAaFRzsG,Yeff Jacoby,0mPppPLB7CB1o1mjAgPg8N,deep tech house,https://p.scdn.co/mp3-preview/29a60481bb338e4f724c885b6988f95bcf151a51?cid=b6a893011a5a479baba23f4a63d00c59,Deep Tech Sad Mood,0qr8Cwp0uldKzsrgcRf1fY,2024-03-05,220.029,0,house
1,Progressive Balcony,6SZDlipFaqomCcnvxpgNfZ,Housework Happy Music Zone,6o8SUSNFzOB8uv6tHKHIHH,deep progressive house,https://p.scdn.co/mp3-preview/84fe245b2285b529b8eba46cd1eae26c558c2e33?cid=b6a893011a5a479baba23f4a63d00c59,Instrumental Deep House,3iaoDFIxdu9uLwfzYhRAPf,2024-01-29,32.026,6,house
2,Progressive House Imagine,6RwByhf0G6epvHU1VbXvOc,Programming and Coding Music Club,6sqT1Jg9UZx7VTCbYWkpPD,dark progressive house,https://p.scdn.co/mp3-preview/2117dfc241c859bdf4ed1c0d6b4ec301ffe571be?cid=b6a893011a5a479baba23f4a63d00c59,Progressive House Music For Programming,5Gx8BEe72A5xCW4h718asF,2020-02-14,177.106,4,house
3,Disco Funk,3im7g3aDrGmIPcTBATyFl5,Funky Trains,4uvuwdv4rX4NGYAkNoAeP2,funky tech house,https://p.scdn.co/mp3-preview/c826def667525f7c17f2e5edcd1d331cbb950654?cid=b6a893011a5a479baba23f4a63d00c59,Funky House 2024,2UGfq6jjrHRDpmLwAsC8Iz,2024-01-12,163.541,2,house
4,Deep Techno,6oHKi7JfxFSdo76Ech55MQ,Hizir John,3h18gxF32ui4t9yKQjJ94U,deep deep tech house,https://p.scdn.co/mp3-preview/d10e1d5b9becd9d953daa16e6aa145e50dcf61d1?cid=b6a893011a5a479baba23f4a63d00c59,Deep Techno,3UNJhRLGa44LfWKBvfJ5bG,2022-10-25,1469.501,8,house
5,Absolute Tribal,4Xb1vTjQLCS2FHl0vDB5Tp,Techhouse,1hBHV8wlT11ygODasyP5T5,tech house,https://p.scdn.co/mp3-preview/65027230e998b38d85f01b353fc3fed5c0e08f99?cid=b6a893011a5a479baba23f4a63d00c59,Tech House Trax,0M4WC5g18AlZTh36snPd15,2024-03-11,104.071,1,house
6,Deep House 2024,70qO9VopiLD0PkKtWFHDbG,Deep House 2024,4PWD6WrmonshIHpABCN34N,deep deep house,https://p.scdn.co/mp3-preview/4a2e9182b7b6bf6e91bde7755f0bb6503b8aaaab?cid=b6a893011a5a479baba23f4a63d00c59,Spring Time Progressive Deep House 2024 Pre Summer Vibes,23qlGRkbUKe83uDNfsWE81,2024-03-02,92.903,11,house
7,Dance House Club (Dubstep Mix),2z5kQrm4g6924ZVtR8UCQF,Blue Claw Philharmonic,2AgVjdnX8TQs4fnd3w0A0h,jackin’ house,https://p.scdn.co/mp3-preview/56e7016d6f9c9a8bb1b769ead39073ab2d1c4ba4?cid=b6a893011a5a479baba23f4a63d00c59,Dubstep Music Playlist 2 (Gaming Raggastep Hardcore Chillstep),3SyRHD4Xz2MiVWY1cFhUAf,2015-12-11,330.527,1,house
8,Feel Brand New - Funky House Extended Mix,78XlZyj8wGzonoEhEodSUP,Seduction,66pXn4ZrPf6yzk5PHGkUZA,funky house,https://p.scdn.co/mp3-preview/8c442b26783c5812ad7b22676dc107143567f712?cid=b6a893011a5a479baba23f4a63d00c59,The Best of Vocal House - Vol. 2,3fYBAzJsqtZyb1ZTaxSYim,2014-06-19,335.849,3,house
9,Organic,1guRSzYTioLu9Dw8yIsgq4,Berg,2r7sssoF6zZbPOG0U0YOem,organic house,https://p.scdn.co/mp3-preview/189a5596e416b5db6686b76ef0a1279170d92e6f?cid=b6a893011a5a479baba23f4a63d00c59,Rolling Sky,4OjErlr6AEu5sQTdq3W9kJ,2017-04-10,413.043,31,house
